ID,Background,Back Accessory,Body,Clothes,Mouth,Eyes,Wield,Accessory,Head,Earring,Rarity,Metadata
00390,Fish,None,Red,Joker Suit,Gritted Teeth,Crazy Yellow,Dragon Ball,Nose Scar,Purple Beanie,Gold Hoop,778.7,"{""721"":{""ergoat-00390"":{""index"":00390,""generation"":1,""background"":""Fish"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Joker Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Crazy Yellow"",""wield"":""Dragon Ball"",""accessory"":""Nose Scar"",""head"":""Purple Beanie"",""earring"":""Gold Hoop""}}}"
00391,Lilac,Battle Axe,Gray,Lab Coat No1,Sharp,Angry Red,Basketball,Blue Energy,Dark Ronin Hat,Disco Ball,757.8,"{""721"":{""ergoat-00391"":{""index"":00391,""generation"":1,""background"":""Lilac"",""back_accessory"":""Battle Axe"",""body"":""Gray"",""clothes"":""Lab Coat No1"",""mouth"":""Sharp"",""eyes"":""Angry Red"",""wield"":""Basketball"",""accessory"":""Blue Energy"",""head"":""Dark Ronin Hat"",""earring"":""Disco Ball""}}}"
00392,Rojo,None,Pink,Black Suit,Tongue Tied,Stoned,Cigarette,Red Collar,War Helmet,None,946,"{""721"":{""ergoat-00392"":{""index"":00392,""generation"":1,""background"":""Rojo"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Black Suit"",""mouth"":""Tongue Tied"",""eyes"":""Stoned"",""wield"":""Cigarette"",""accessory"":""Red Collar"",""head"":""War Helmet"",""earring"":""None""}}}"
00393,Sun Belt,None,Orange,White Suit,Pierced Tongue,Assassin Gray,Coconut,Blue Energy,Royal Guard Hat,Hanafudu No2,825,"{""721"":{""ergoat-00393"":{""index"":00393,""generation"":1,""background"":""Sun Belt"",""back_accessory"":""None"",""body"":""Orange"",""clothes"":""White Suit"",""mouth"":""Pierced Tongue"",""eyes"":""Assassin Gray"",""wield"":""Coconut"",""accessory"":""Blue Energy"",""head"":""Royal Guard Hat"",""earring"":""Hanafudu No2""}}}"
00394,Clover Field,Devil Tail,Gray,Negan Jacket,Sharp,Calm Purple,Christmas Mug,Nose Scar,Purple Beanie,None,876.8,"{""721"":{""ergoat-00394"":{""index"":00394,""generation"":1,""background"":""Clover Field"",""back_accessory"":""Devil Tail"",""body"":""Gray"",""clothes"":""Negan Jacket"",""mouth"":""Sharp"",""eyes"":""Calm Purple"",""wield"":""Christmas Mug"",""accessory"":""Nose Scar"",""head"":""Purple Beanie"",""earring"":""None""}}}"
00395,Clover Field,Battle Axe,Teal,Ripped Suit,Pierced Tongue,Calm Purple,Coconut,Red Collar,Rambo,Spikes,784.4,"{""721"":{""ergoat-00395"":{""index"":00395,""generation"":1,""background"":""Clover Field"",""back_accessory"":""Battle Axe"",""body"":""Teal"",""clothes"":""Ripped Suit"",""mouth"":""Pierced Tongue"",""eyes"":""Calm Purple"",""wield"":""Coconut"",""accessory"":""Red Collar"",""head"":""Rambo"",""earring"":""Spikes""}}}"
00396,Sunshine,None,Gray,White Suit,Smirk,Shoujo,Coconut,Pentagram,Super Blue,None,826,"{""721"":{""ergoat-00396"":{""index"":00396,""generation"":1,""background"":""Sunshine"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""White Suit"",""mouth"":""Smirk"",""eyes"":""Shoujo"",""wield"":""Coconut"",""accessory"":""Pentagram"",""head"":""Super Blue"",""earring"":""None""}}}"
00397,Opening Scene,Blue Katana,Purple,Negan Jacket,Grin,Angry Purple,Flame,Silver Chain Necklace,Dark Cowboy Hat,None,821.9,"{""721"":{""ergoat-00397"":{""index"":00397,""generation"":1,""background"":""Opening Scene"",""back_accessory"":""Blue Katana"",""body"":""Purple"",""clothes"":""Negan Jacket"",""mouth"":""Grin"",""eyes"":""Angry Purple"",""wield"":""Flame"",""accessory"":""Silver Chain Necklace"",""head"":""Dark Cowboy Hat"",""earring"":""None""}}}"
00398,Airport Night,None,Pink,Santa,Sharp,Angry Purple,Wolverine,Reading Glasses,Green Beanie,Silver Hoop,819.3,"{""721"":{""ergoat-00398"":{""index"":00398,""generation"":1,""background"":""Airport Night"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Santa"",""mouth"":""Sharp"",""eyes"":""Angry Purple"",""wield"":""Wolverine"",""accessory"":""Reading Glasses"",""head"":""Green Beanie"",""earring"":""Silver Hoop""}}}"
00399,Opening Scene,Blue Katana,Blue,Green Ninja Armor,Screaming,Angry Red,Wolverine,Gold Chain Necklace,Green Beanie,Diamond Stud,714.4,"{""721"":{""ergoat-00399"":{""index"":00399,""generation"":1,""background"":""Opening Scene"",""back_accessory"":""Blue Katana"",""body"":""Blue"",""clothes"":""Green Ninja Armor"",""mouth"":""Screaming"",""eyes"":""Angry Red"",""wield"":""Wolverine"",""accessory"":""Gold Chain Necklace"",""head"":""Green Beanie"",""earring"":""Diamond Stud""}}}"
00400,Lilac,Demon Wings,Red,White Suit,Gold Tooth,Stoned,Cupcake,Red Scouter,Blue Afro,Diamond Stud,728.6,"{""721"":{""ergoat-00400"":{""index"":00400,""generation"":1,""background"":""Lilac"",""back_accessory"":""Demon Wings"",""body"":""Red"",""clothes"":""White Suit"",""mouth"":""Gold Tooth"",""eyes"":""Stoned"",""wield"":""Cupcake"",""accessory"":""Red Scouter"",""head"":""Blue Afro"",""earring"":""Diamond Stud""}}}"
00401,Airline Scarf,None,Gray,Black ERGoat Shirt,Missing Tooth,Calm Purple,Cigarette,Pentagram,Blue Flame,Pentagram,834.5,"{""721"":{""ergoat-00401"":{""index"":00401,""generation"":1,""background"":""Airline Scarf"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Black ERGoat Shirt"",""mouth"":""Missing Tooth"",""eyes"":""Calm Purple"",""wield"":""Cigarette"",""accessory"":""Pentagram"",""head"":""Blue Flame"",""earring"":""Pentagram""}}}"
00402,Summer,None,Brown,Pink Suit,Sharp,Stoned,Cupcake,Red Collar,Dark Cowboy Hat,Ruby Stud,878.2,"{""721"":{""ergoat-00402"":{""index"":00402,""generation"":1,""background"":""Summer"",""back_accessory"":""None"",""body"":""Brown"",""clothes"":""Pink Suit"",""mouth"":""Sharp"",""eyes"":""Stoned"",""wield"":""Cupcake"",""accessory"":""Red Collar"",""head"":""Dark Cowboy Hat"",""earring"":""Ruby Stud""}}}"
00403,Skyism,Battle Axe,Pink,Lab Coat No1,Grin,Stoned,Christmas Mug,Red Scouter,Purple Beanie,Ergo Chain,768.8,"{""721"":{""ergoat-00403"":{""index"":00403,""generation"":1,""background"":""Skyism"",""back_accessory"":""Battle Axe"",""body"":""Pink"",""clothes"":""Lab Coat No1"",""mouth"":""Grin"",""eyes"":""Stoned"",""wield"":""Christmas Mug"",""accessory"":""Red Scouter"",""head"":""Purple Beanie"",""earring"":""Ergo Chain""}}}"
00404,Watermelon,None,Teal,Negan Jacket,Sharp,Crazy Yellow,Trident,Gold Chain Necklace,Cowboy Hat,None,924.8,"{""721"":{""ergoat-00404"":{""index"":00404,""generation"":1,""background"":""Watermelon"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Negan Jacket"",""mouth"":""Sharp"",""eyes"":""Crazy Yellow"",""wield"":""Trident"",""accessory"":""Gold Chain Necklace"",""head"":""Cowboy Hat"",""earring"":""None""}}}"
00405,Summer,Monkey Tail,Orange,Ronin White,Grin,Super,Necronomicon,Green Energy,Green Beanie,None,821.1,"{""721"":{""ergoat-00405"":{""index"":00405,""generation"":1,""background"":""Summer"",""back_accessory"":""Monkey Tail"",""body"":""Orange"",""clothes"":""Ronin White"",""mouth"":""Grin"",""eyes"":""Super"",""wield"":""Necronomicon"",""accessory"":""Green Energy"",""head"":""Green Beanie"",""earring"":""None""}}}"
00406,Watermelon,None,Teal,Holiday ERGoat Shirt,Grin,Crazy Yellow,Necronomicon,Reading Glasses,Xmas Lights,Snow Globe,854.9,"{""721"":{""ergoat-00406"":{""index"":00406,""generation"":1,""background"":""Watermelon"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Holiday ERGoat Shirt"",""mouth"":""Grin"",""eyes"":""Crazy Yellow"",""wield"":""Necronomicon"",""accessory"":""Reading Glasses"",""head"":""Xmas Lights"",""earring"":""Snow Globe""}}}"
00407,Bloodshot,Green Parrot,Gray,Lab Coat No2,Smirk,Assassin Green,Spiked Bat,Evil Face Tattoo,Rambo,Silver Hoop,785.3,"{""721"":{""ergoat-00407"":{""index"":00407,""generation"":1,""background"":""Bloodshot"",""back_accessory"":""Green Parrot"",""body"":""Gray"",""clothes"":""Lab Coat No2"",""mouth"":""Smirk"",""eyes"":""Assassin Green"",""wield"":""Spiked Bat"",""accessory"":""Evil Face Tattoo"",""head"":""Rambo"",""earring"":""Silver Hoop""}}}"
00408,Peach Line,None,Pink,Orange Hawaiian Shirt,Gold Tooth,Angry Purple,Wolverine,Blue Energy,Orange Afro,None,927.1,"{""721"":{""ergoat-00408"":{""index"":00408,""generation"":1,""background"":""Peach Line"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Orange Hawaiian Shirt"",""mouth"":""Gold Tooth"",""eyes"":""Angry Purple"",""wield"":""Wolverine"",""accessory"":""Blue Energy"",""head"":""Orange Afro"",""earring"":""None""}}}"
00409,Watermelon Stripe,Dark Angel Wings,Gray,Black Suit,Tongue Tied,Crazy Yellow,Katana,Gold Chain Necklace,Horns,Snow Globe,837,"{""721"":{""ergoat-00409"":{""index"":00409,""generation"":1,""background"":""Watermelon Stripe"",""back_accessory"":""Dark Angel Wings"",""body"":""Gray"",""clothes"":""Black Suit"",""mouth"":""Tongue Tied"",""eyes"":""Crazy Yellow"",""wield"":""Katana"",""accessory"":""Gold Chain Necklace"",""head"":""Horns"",""earring"":""Snow Globe""}}}"
00410,Movie Foam,None,Blue,Black Suit,Flopped,Crazy Blue,Cocktail,Green Energy,Pink Neon Horns,Disco Ball,901,"{""721"":{""ergoat-00410"":{""index"":00410,""generation"":1,""background"":""Movie Foam"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Black Suit"",""mouth"":""Flopped"",""eyes"":""Crazy Blue"",""wield"":""Cocktail"",""accessory"":""Green Energy"",""head"":""Pink Neon Horns"",""earring"":""Disco Ball""}}}"
00411,Cheap Red,Red Parrot,Pink,Holiday Suit,Sharp,Crazy Yellow,Spiked Bat,Silver Chain Necklace,Ronin Hat,Disco Ball,806.1,"{""721"":{""ergoat-00411"":{""index"":00411,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""Red Parrot"",""body"":""Pink"",""clothes"":""Holiday Suit"",""mouth"":""Sharp"",""eyes"":""Crazy Yellow"",""wield"":""Spiked Bat"",""accessory"":""Silver Chain Necklace"",""head"":""Ronin Hat"",""earring"":""Disco Ball""}}}"
00412,Island in Blood,None,Yellow,Joker Suit,Snake,Calm Teal,Wolverine,Nose Scar,Green Neon Horns,None,883.7,"{""721"":{""ergoat-00412"":{""index"":00412,""generation"":1,""background"":""Island in Blood"",""back_accessory"":""None"",""body"":""Yellow"",""clothes"":""Joker Suit"",""mouth"":""Snake"",""eyes"":""Calm Teal"",""wield"":""Wolverine"",""accessory"":""Nose Scar"",""head"":""Green Neon Horns"",""earring"":""None""}}}"
00413,Peach Line,None,Gray,Ripped Suit,Missing Tooth,Angry Red,Flame,Green Energy,Purple Beanie,None,997.8,"{""721"":{""ergoat-00413"":{""index"":00413,""generation"":1,""background"":""Peach Line"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Ripped Suit"",""mouth"":""Missing Tooth"",""eyes"":""Angry Red"",""wield"":""Flame"",""accessory"":""Green Energy"",""head"":""Purple Beanie"",""earring"":""None""}}}"
00414,Water Hole,Angel Wings,Teal,Black Suit,Sharp,Shoujo,Cupcake,Gray Collar,Xmas Lights,Ergo Chain,707.2,"{""721"":{""ergoat-00414"":{""index"":00414,""generation"":1,""background"":""Water Hole"",""back_accessory"":""Angel Wings"",""body"":""Teal"",""clothes"":""Black Suit"",""mouth"":""Sharp"",""eyes"":""Shoujo"",""wield"":""Cupcake"",""accessory"":""Gray Collar"",""head"":""Xmas Lights"",""earring"":""Ergo Chain""}}}"
00415,Bloodshot,None,Pink,Joker Suit,Tongue Tied,Calm Teal,White Wine,Blue Energy,Dark Horns,Safety Pin,868.7,"{""721"":{""ergoat-00415"":{""index"":00415,""generation"":1,""background"":""Bloodshot"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Joker Suit"",""mouth"":""Tongue Tied"",""eyes"":""Calm Teal"",""wield"":""White Wine"",""accessory"":""Blue Energy"",""head"":""Dark Horns"",""earring"":""Safety Pin""}}}"
00416,Crime Scene,None,Red,Lab Coat No2,Gold Tooth,Calm Teal,Christmas Mug,Red Collar,Horns,Diamond Stud,928.1,"{""721"":{""ergoat-00416"":{""index"":00416,""generation"":1,""background"":""Crime Scene"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Lab Coat No2"",""mouth"":""Gold Tooth"",""eyes"":""Calm Teal"",""wield"":""Christmas Mug"",""accessory"":""Red Collar"",""head"":""Horns"",""earring"":""Diamond Stud""}}}"
00417,Skyism,None,Pink,Santa,Flopped,Angry Red,Christmas Mug,Red Collar,Purple Beanie,Ruby Stud,863.3,"{""721"":{""ergoat-00417"":{""index"":00417,""generation"":1,""background"":""Skyism"",""back_accessory"":""None"",""body"":""Pink"",""clothes"":""Santa"",""mouth"":""Flopped"",""eyes"":""Angry Red"",""wield"":""Christmas Mug"",""accessory"":""Red Collar"",""head"":""Purple Beanie"",""earring"":""Ruby Stud""}}}"
00418,Score Line,Red Parrot,Orange,Bulls Jersey,Pierced Tongue,Crazy Yellow,Tie Dye Wine,Face Cuts,Dark Cowboy Hat,None,814.3,"{""721"":{""ergoat-00418"":{""index"":00418,""generation"":1,""background"":""Score Line"",""back_accessory"":""Red Parrot"",""body"":""Orange"",""clothes"":""Bulls Jersey"",""mouth"":""Pierced Tongue"",""eyes"":""Crazy Yellow"",""wield"":""Tie Dye Wine"",""accessory"":""Face Cuts"",""head"":""Dark Cowboy Hat"",""earring"":""None""}}}"
00419,Airline Scarf,Green Parrot,Blue,Black Suit,Grin,Calm Purple,Wolverine,Mustache,Santa Hat,Snowman,741.2,"{""721"":{""ergoat-00419"":{""index"":00419,""generation"":1,""background"":""Airline Scarf"",""back_accessory"":""Green Parrot"",""body"":""Blue"",""clothes"":""Black Suit"",""mouth"":""Grin"",""eyes"":""Calm Purple"",""wield"":""Wolverine"",""accessory"":""Mustache"",""head"":""Santa Hat"",""earring"":""Snowman""}}}"
00420,Opening Scene,None,Purple,Holiday ERGoat Shirt,Flopped,Calm Teal,Katana,Gold Chain Necklace,Dark Ronin Hat,Hanafudu No2,798.9,"{""721"":{""ergoat-00420"":{""index"":00420,""generation"":1,""background"":""Opening Scene"",""back_accessory"":""None"",""body"":""Purple"",""clothes"":""Holiday ERGoat Shirt"",""mouth"":""Flopped"",""eyes"":""Calm Teal"",""wield"":""Katana"",""accessory"":""Gold Chain Necklace"",""head"":""Dark Ronin Hat"",""earring"":""Hanafudu No2""}}}"
00421,Monochrome,Green Parrot,Pink,White Suit,Smirk,Crazy Blue,Katana,Gold Chain Necklace,Red Beanie,Disco Ball,835.2,"{""721"":{""ergoat-00421"":{""index"":00421,""generation"":1,""background"":""Monochrome"",""back_accessory"":""Green Parrot"",""body"":""Pink"",""clothes"":""White Suit"",""mouth"":""Smirk"",""eyes"":""Crazy Blue"",""wield"":""Katana"",""accessory"":""Gold Chain Necklace"",""head"":""Red Beanie"",""earring"":""Disco Ball""}}}"
00422,Hazy Eve,None,Gray,Black Suit,Gold Tooth,Ergo,Wolverine,Gray Collar,Xmas Lights,Snow Globe,813,"{""721"":{""ergoat-00422"":{""index"":00422,""generation"":1,""background"":""Hazy Eve"",""back_accessory"":""None"",""body"":""Gray"",""clothes"":""Black Suit"",""mouth"":""Gold Tooth"",""eyes"":""Ergo"",""wield"":""Wolverine"",""accessory"":""Gray Collar"",""head"":""Xmas Lights"",""earring"":""Snow Globe""}}}"
00423,Crime Scene,Bag of Toys,Red,Ripped Suit,Gold Tooth,Assassin Green,Coconut,Reading Glasses,Dark Cowboy Hat,None,895.7,"{""721"":{""ergoat-00423"":{""index"":00423,""generation"":1,""background"":""Crime Scene"",""back_accessory"":""Bag of Toys"",""body"":""Red"",""clothes"":""Ripped Suit"",""mouth"":""Gold Tooth"",""eyes"":""Assassin Green"",""wield"":""Coconut"",""accessory"":""Reading Glasses"",""head"":""Dark Cowboy Hat"",""earring"":""None""}}}"
00424,Cheap Red,Monkey Tail,Pink,Baphomet,Snake,Assassin Green,Cocktail,Red Collar,Blue Afro,Present,739.5,"{""721"":{""ergoat-00424"":{""index"":00424,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""Monkey Tail"",""body"":""Pink"",""clothes"":""Baphomet"",""mouth"":""Snake"",""eyes"":""Assassin Green"",""wield"":""Cocktail"",""accessory"":""Red Collar"",""head"":""Blue Afro"",""earring"":""Present""}}}"
00425,Watermelon,None,Teal,Ronin Black,Gold Tooth,Calm Purple,Cupcake,3D Glasses No1,Purple Beanie,Spikes,885.7,"{""721"":{""ergoat-00425"":{""index"":00425,""generation"":1,""background"":""Watermelon"",""back_accessory"":""None"",""body"":""Teal"",""clothes"":""Ronin Black"",""mouth"":""Gold Tooth"",""eyes"":""Calm Purple"",""wield"":""Cupcake"",""accessory"":""3D Glasses No1"",""head"":""Purple Beanie"",""earring"":""Spikes""}}}"
00426,Forever Sunshine,None,Blue,Ripped Suit,Screaming,Angry Purple,Red Wine,Red Collar,Rambo,Disco Ball,940.8,"{""721"":{""ergoat-00426"":{""index"":00426,""generation"":1,""background"":""Forever Sunshine"",""back_accessory"":""None"",""body"":""Blue"",""clothes"":""Ripped Suit"",""mouth"":""Screaming"",""eyes"":""Angry Purple"",""wield"":""Red Wine"",""accessory"":""Red Collar"",""head"":""Rambo"",""earring"":""Disco Ball""}}}"
00427,Pinot Noir Film,Bag of Toys,Orange,Ronin White,Pierced Tongue,Angry Purple,Tie Dye Wine,Red Energy,Purple Beanie,None,877.1,"{""721"":{""ergoat-00427"":{""index"":00427,""generation"":1,""background"":""Pinot Noir Film"",""back_accessory"":""Bag of Toys"",""body"":""Orange"",""clothes"":""Ronin White"",""mouth"":""Pierced Tongue"",""eyes"":""Angry Purple"",""wield"":""Tie Dye Wine"",""accessory"":""Red Energy"",""head"":""Purple Beanie"",""earring"":""None""}}}"
00428,Gum,None,Green,White ERGoat Shirt,Flopped,Assassin Green,Necronomicon,Green Scouter,Santa Hat,Sapphire Stud,821.5,"{""721"":{""ergoat-00428"":{""index"":00428,""generation"":1,""background"":""Gum"",""back_accessory"":""None"",""body"":""Green"",""clothes"":""White ERGoat Shirt"",""mouth"":""Flopped"",""eyes"":""Assassin Green"",""wield"":""Necronomicon"",""accessory"":""Green Scouter"",""head"":""Santa Hat"",""earring"":""Sapphire Stud""}}}"
00429,Movie Foam,Angel Wings,Pink,Black Suit,Missing Tooth,Calm Purple,Christmas Mug,Nose Scar,Horns,Safety Pin,862.2,"{""721"":{""ergoat-00429"":{""index"":00429,""generation"":1,""background"":""Movie Foam"",""back_accessory"":""Angel Wings"",""body"":""Pink"",""clothes"":""Black Suit"",""mouth"":""Missing Tooth"",""eyes"":""Calm Purple"",""wield"":""Christmas Mug"",""accessory"":""Nose Scar"",""head"":""Horns"",""earring"":""Safety Pin""}}}"
00430,Psycho,Bumble Bee,Gray,Pink Suit,Gritted Teeth,Crazy Blue,Cigarette,Silver Chain Necklace,Santa Hat,Silver Hoop,824.3,"{""721"":{""ergoat-00430"":{""index"":00430,""generation"":1,""background"":""Psycho"",""back_accessory"":""Bumble Bee"",""body"":""Gray"",""clothes"":""Pink Suit"",""mouth"":""Gritted Teeth"",""eyes"":""Crazy Blue"",""wield"":""Cigarette"",""accessory"":""Silver Chain Necklace"",""head"":""Santa Hat"",""earring"":""Silver Hoop""}}}"
00431,Pinot Noir Film,Bumble Bee,Brown,Santa,Screaming,Angry Purple,Wolverine,Pentagram,Red Beanie,Gold Hoop,747.4,"{""721"":{""ergoat-00431"":{""index"":00431,""generation"":1,""background"":""Pinot Noir Film"",""back_accessory"":""Bumble Bee"",""body"":""Brown"",""clothes"":""Santa"",""mouth"":""Screaming"",""eyes"":""Angry Purple"",""wield"":""Wolverine"",""accessory"":""Pentagram"",""head"":""Red Beanie"",""earring"":""Gold Hoop""}}}"
00432,Cheap Red,None,Red,Drug Rug No2,Sharp,Calm Purple,Cocktail,Reading Glasses,Dark Cowboy Hat,None,967.3,"{""721"":{""ergoat-00432"":{""index"":00432,""generation"":1,""background"":""Cheap Red"",""back_accessory"":""None"",""body"":""Red"",""clothes"":""Drug Rug No2"",""mouth"":""Sharp"",""eyes"":""Calm Purple"",""wield"":""Cocktail"",""accessory"":""Reading Glasses"",""head"":""Dark Cowboy Hat"",""earring"":""None""}}}"
00433,Movie Foam,Buster Sword,Pink,White Suit,Grin,Calm Purple,Katana,Evil Face Tattoo,Horns,Hanafudu No1,852.2,"{""721"":{""ergoat-00433"":{""index"":00433,""generation"":1,""background"":""Movie Foam"",""back_accessory"":""Buster Sword"",""body"":""Pink"",""clothes"":""White Suit"",""mouth"":""Grin"",""eyes"":""Calm Purple"",""wield"":""Katana"",""accessory"":""Evil Face Tattoo"",""head"":""Horns"",""earring"":""Hanafudu No1""}}}"
00434,Peach Line,Angel Wings,Teal,Purple Hawaiian Shirt,Gritted Teeth,Calm Purple,Tie Dye Wine,Red Collar,Green Neon Horns,None,843.5,"{""721"":{""ergoat-00434"":{""index"":00434,""generation"":1,""background"":""Peach Line"",""back_accessory"":""Angel Wings"",""body"":""Teal"",""clothes"":""Purple Hawaiian Shirt"",""mouth"":""Gritted Teeth"",""eyes"":""Calm Purple"",""wield"":""Tie Dye Wine"",""accessory"":""Red Collar"",""head"":""Green Neon Horns"",""earring"":""None""}}}"
